Frame_ID,Configuration,Panel_ID,Panel_position,Panel_type,Species,Func_group,Type,Measure,Count_perc
1,Grouped,P1,A,cm_25,Cirripedia,Suspension feeder,Sessile,Percent,10
1,Grouped,P1,A,cm_25,C_eumyota,Suspension feeder,Sessile,Percent,0
1,Grouped,P1,A,cm_25,F_serratus,Leathery macrophyte,Sessile,Percent,50
1,Grouped,P1,A,cm_25,F_spiralis,Leathery macrophyte,Sessile,Percent,0
1,Grouped,P1,A,cm_25,F_vesiculosus,Leathery macrophyte,Sessile,Percent,70
1,Grouped,P1,A,cm_25,Juv_fucus,Leathery macrophyte,Sessile,Percent,0
1,Grouped,P1,A,cm_25,M_gigas,Suspension feeder,Sessile,Count,0
1,Grouped,P1,A,cm_25,O_littoralis,Suspension feeder,Sessile,Percent,0
1,Grouped,P1,A,cm_25,S_spirorbis,Suspension feeder,Sessile,Percent,0
1,Grouped,P1,A,cm_25,Spirobranchus,Suspension feeder,Sessile,Percent,0
1,Grouped,P1,A,cm_25,U_intestinalis,Corticated foliose,Sessile,Percent,45
1,Grouped,P1,A,cm_25,U_lactuca,Corticated foliose,Sessile,Percent,0
1,Grouped,P1,A,cm_25,W_subatra,Suspension feeder,Sessile,Percent,1
1,Grouped,P1,A,cm_25,A_ephippium,Suspension feeder,Sessile,Count,0
1,Grouped,P1,A,cm_25,M_edulis,Suspension feeder,Sessile,Count,0
1,Grouped,P1,A,cm_25,M_varia,Suspension feeder,Sedentary,Count,0
1,Grouped,P1,A,cm_25,Sediment,NA,NA,Percent,50
1,Grouped,P1,A,cm_25,C_maenas,Omnivore,Mobile,Count,0
1,Grouped,P1,A,cm_25,C_zizyphinum,Grazer/Herbivore,Mobile,Count,0
1,Grouped,P1,A,cm_25,L_littorea,Grazer/Herbivore,Mobile,Count,0
1,Grouped,P1,A,cm_25,L_obtusata,Grazer/Herbivore,Mobile,Count,0
1,Grouped,P1,A,cm_25,Limpet_recruit,Grazer/Herbivore,Mobile,Count,1
1,Grouped,P1,A,cm_25,N_lapillus,Predator,Mobile,Count,0
1,Grouped,P1,A,cm_25,Polychaete,Unknown,Mobile,Count,0
1,Grouped,P1,A,cm_25,O_bilamellata,Predator,Mobile,Count,0
1,Grouped,P1,A,cm_25,O_erinaceus,Predator,Mobile,Count,0
1,Grouped,P1,A,cm_25,P_nothus,Predator,Mobile,Count,0
1,Grouped,P1,A,cm_25,P_quadrilineata,Predator,Mobile,Count,0
1,Grouped,P1,A,cm_25,S_umbilicalis,Grazer/Herbivore,Mobile,Count,0
1,Grouped,P1,A,cm_25,T_reticulata,Scavenger/Detritivore,Mobile,Count,0
2,Random,P10,A,cm_25,Cirripedia,Suspension feeder,Sessile,Percent,5
2,Random,P10,A,cm_25,C_eumyota,Suspension feeder,Sessile,Percent,0
2,Random,P10,A,cm_25,F_serratus,Leathery macrophyte,Sessile,Percent,3
2,Random,P10,A,cm_25,F_spiralis,Leathery macrophyte,Sessile,Percent,0
2,Random,P10,A,cm_25,F_vesiculosus,Leathery macrophyte,Sessile,Percent,2
2,Random,P10,A,cm_25,Juv_fucus,Leathery macrophyte,Sessile,Percent,0
2,Random,P10,A,cm_25,M_gigas,Suspension feeder,Sessile,Count,0
2,Random,P10,A,cm_25,O_littoralis,Suspension feeder,Sessile,Percent,0
2,Random,P10,A,cm_25,S_spirorbis,Suspension feeder,Sessile,Percent,0
2,Random,P10,A,cm_25,Spirobranchus,Suspension feeder,Sessile,Percent,0
2,Random,P10,A,cm_25,U_intestinalis,Corticated foliose,Sessile,Percent,3
2,Random,P10,A,cm_25,U_lactuca,Corticated foliose,Sessile,Percent,0
2,Random,P10,A,cm_25,W_subatra,Suspension feeder,Sessile,Percent,0
2,Random,P10,A,cm_25,A_ephippium,Suspension feeder,Sessile,Count,0
2,Random,P10,A,cm_25,M_edulis,Suspension feeder,Sessile,Count,0
2,Random,P10,A,cm_25,M_varia,Suspension feeder,Sedentary,Count,0
2,Random,P10,A,cm_25,Sediment,NA,NA,Percent,80
2,Random,P10,A,cm_25,C_maenas,Omnivore,Mobile,Count,0
2,Random,P10,A,cm_25,C_zizyphinum,Grazer/Herbivore,Mobile,Count,0
2,Random,P10,A,cm_25,L_littorea,Grazer/Herbivore,Mobile,Count,0
2,Random,P10,A,cm_25,L_obtusata,Grazer/Herbivore,Mobile,Count,0
2,Random,P10,A,cm_25,Limpet_recruit,Grazer/Herbivore,Mobile,Count,0
2,Random,P10,A,cm_25,N_lapillus,Predator,Mobile,Count,0
2,Random,P10,A,cm_25,Polychaete,Unknown,Mobile,Count,0
2,Random,P10,A,cm_25,O_bilamellata,Predator,Mobile,Count,0
2,Random,P10,A,cm_25,O_erinaceus,Predator,Mobile,Count,0
2,Random,P10,A,cm_25,P_nothus,Predator,Mobile,Count,0
2,Random,P10,A,cm_25,P_quadrilineata,Predator,Mobile,Count,0
2,Random,P10,A,cm_25,S_umbilicalis,Grazer/Herbivore,Mobile,Count,1
2,Random,P10,A,cm_25,T_reticulata,Scavenger/Detritivore,Mobile,Count,0
12,Random,P100,A,Ripple,Cirripedia,Suspension feeder,Sessile,Percent,2
12,Random,P100,A,Ripple,C_eumyota,Suspension feeder,Sessile,Percent,0
12,Random,P100,A,Ripple,F_serratus,Leathery macrophyte,Sessile,Percent,0
12,Random,P100,A,Ripple,F_spiralis,Leathery macrophyte,Sessile,Percent,0
12,Random,P100,A,Ripple,F_vesiculosus,Leathery macrophyte,Sessile,Percent,0
12,Random,P100,A,Ripple,Juv_fucus,Leathery macrophyte,Sessile,Percent,4
12,Random,P100,A,Ripple,M_gigas,Suspension feeder,Sessile,Count,0
12,Random,P100,A,Ripple,O_littoralis,Suspension feeder,Sessile,Percent,0
12,Random,P100,A,Ripple,S_spirorbis,Suspension feeder,Sessile,Percent,0
12,Random,P100,A,Ripple,Spirobranchus,Suspension feeder,Sessile,Percent,0
12,Random,P100,A,Ripple,U_intestinalis,Corticated foliose,Sessile,Percent,85
12,Random,P100,A,Ripple,U_lactuca,Corticated foliose,Sessile,Percent,0
